episode,scene,task_description,start,end,frames,verb,object,hand,grip,grasp_loc,angle,source,relation,ref_object,ref_direction,orientation,flip,sub_position,text
2026-03-14-23-11-09-545000,pick_place_diverse,pick and place on variety of objects,2613,2754,141,place,blue stuffed toy,right,-,-,-,-,left,white mug,left,backwards,none,none,Put the blue stuffed toy to the left of the white mug with the right hand facing backwards.
2026-03-14-23-11-09-545000,pick_place_diverse,pick and place on variety of objects,2754,2811,57,return,-,right,-,-,-,-,-,-,-,-,-,-,Return to home with the right hand.
2026-03-14-23-11-09-545000,pick_place_diverse,pick and place on variety of objects,2811,2916,105,pick,carrot toy,left,side,top,diagonal,table,-,-,-,-,-,-,Pick up the carrot toy from the table with the left hand using a side grip at the top from a diagonal angle.
2026-03-14-23-11-09-545000,pick_place_diverse,pick and place on variety of objects,2916,3000,84,place,carrot,left,-,-,-,-,right,pink bowl,right,backwards,none,top,Place the carrot to the right of the pink bowl on the top side with the left hand facing backwards with the tip as the orientation reference point.
2026-03-14-23-13-42-698000,pick_place_diverse,pick and place on variety of objects,0,117,117,pick,pink bowl,left,lip,bottom,diagonal,table,-,-,-,-,-,-,Pick up the pink bowl from the table with the left hand using a lip grip at the bottom left with a diagonal angle.
2026-03-14-23-13-42-698000,pick_place_diverse,pick and place on variety of objects,117,153,36,dump,pink stuffed toy,left,-,-,-,-,left,carrot,left,none,none,none,Dump the pink stuffed toy to the left side of the carrot with the left hand.
2026-03-14-23-13-42-698000,pick_place_diverse,pick and place on variety of objects,153,255,102,place,pink bowl,left,-,-,-,-,right,carrot,right,none,none,none,Place the pink bowl to the right side of the carrot with the left hand.
2026-03-14-23-13-42-698000,pick_place_diverse,pick and place on variety of objects,255,438,183,pick,carrot,left,plain,middle,top,table,-,-,-,-,-,-,Pick up the carrot from the table with the left hand from the top at the middle.
2026-03-14-23-13-42-698000,pick_place_diverse,pick and place on variety of objects,438,573,135,place,carrot,left,-,-,-,-,front,pink stuffed toy,front,backwards,none,bottom_left,Put the carrot in front of the pink stuffed toy on the bottom left side with the left hand facing backwards by the tip.
2026-03-14-23-13-42-698000,pick_place_diverse,pick and place on variety of objects,573,744,171,pick,pink bowl,right,lip,right,diagonal,table,-,-,-,-,-,-,Pick up the pink bowl from the table with the right hand using a diagonal lip grasp on the right side.
2026-03-14-23-13-42-698000,pick_place_diverse,pick and place on variety of objects,744,855,111,place,pink bowl,right,-,-,-,-,corner,white cup,corner,none,up,none,Place the pink bowl to the top right side of the white cup with the right hand right side up with the front as the reference point.
2026-03-14-23-13-42-698000,pick_place_diverse,pick and place on variety of objects,855,1140,285,pick,carrot,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the carrot from the table with the left hand at a diagonal angle grasping the middle.
2026-03-14-23-13-42-698000,pick_place_diverse,pick and place on variety of objects,1140,1257,117,place,carrot,left,-,-,-,-,front,blue stuffed toy,front,backwards,none,none,Put the carrot in front of the blue stuffed toy with the left hand facing backwards with the tip at the bottom side.
2026-03-14-23-13-42-698000,pick_place_diverse,pick and place on variety of objects,1257,1443,186,pick,pink stuffed toy,left,plain,entire,diagonal,table,-,-,-,-,-,-,Pick up the pink stuffed toy from the table with the left hand at a diagonal angle grasping the entire object.
2026-03-14-23-13-42-698000,pick_place_diverse,pick and place on variety of objects,1443,1563,120,place,pink stuffed toy,left,-,-,-,-,right,carrot,right,top_right,none,none,Put the pink stuffed toy to the right side of the carrot with the left hand facing top right.
2026-03-14-23-13-42-698000,pick_place_diverse,pick and place on variety of objects,1563,1824,261,pick,pink bowl,right,lip,top,top,table,-,-,-,-,-,-,Pick up the pink bowl from the table with the right hand using a lip grip at the bottom right from the top.
2026-03-14-23-13-42-698000,pick_place_diverse,pick and place on variety of objects,1824,2016,192,place,pink bowl,right,-,-,-,-,right,pink stuffed toy,right,none,none,none,Place the pink bowl to the right side of the pink stuffed toy with the right hand.
2026-03-14-23-13-42-698000,pick_place_diverse,pick and place on variety of objects,2016,2232,216,pick,carrot,left,plain,middle,top,table,-,-,-,-,-,-,Pick up the carrot from the table with the left hand from the top at the middle.
2026-03-14-23-13-42-698000,pick_place_diverse,pick and place on variety of objects,2232,2349,117,place,carrot,left,-,-,-,-,left,blue stuffed toy,left,backwards,none,top,Put the carrot to the left side of the blue stuffed toy with the left hand on the top side facing backwards.
2026-03-14-23-13-42-698000,pick_place_diverse,pick and place on variety of objects,2349,2673,324,pick,blue stuffed toy,right,side,bottom,diagonal,table,-,-,-,-,-,-,Pick up the blue stuffed toy from the table with the right hand using a side grip at the bottom from a diagonal angle.
2026-03-14-23-13-42-698000,pick_place_diverse,pick and place on variety of objects,2673,2814,141,place,blue toy,right,-,-,-,-,inside,pink bowl,inside,backwards,none,none,Put the blue toy into the pink bowl with the right hand facing backwards.
2026-03-14-23-13-42-698000,pick_place_diverse,pick and place on variety of objects,2814,2868,54,return,-,right,-,-,-,-,-,-,-,-,-,-,Return to home with the right hand.
2026-03-14-23-13-42-698000,pick_place_diverse,pick and place on variety of objects,2868,3000,132,pick,carrot,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the carrot from the table with the left hand at a diagonal angle grasping the middle.
2026-03-14-23-17-15-904000,pick_place_diverse,pick and place on variety of objects,0,144,144,pick,juice pouch,left,plain,middle,side,table,-,-,-,-,-,-,Pick up the juice pouch from the table with the left hand from the side at the middle.
2026-03-14-23-17-15-904000,pick_place_diverse,pick and place on variety of objects,144,231,87,place,juice pouch,left,-,-,-,-,left,red bell pepper,left,none,up,none,Place the juice pouch to the left of the red bell pepper with the left hand right side up.
2026-03-14-23-17-15-904000,pick_place_diverse,pick and place on variety of objects,231,453,222,pick,asparagus,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the asparagus from the table with the right hand at a diagonal angle grasping the middle.
2026-03-14-23-17-15-904000,pick_place_diverse,pick and place on variety of objects,453,573,120,place,asparagus,right,-,-,-,-,right,small white coffee cup,right,backwards,none,none,Put the asparagus to the right of the small white coffee cup with the right hand facing backwards with the tip as the reference point.
2026-03-14-23-17-15-904000,pick_place_diverse,pick and place on variety of objects,573,789,216,pick,red bell pepper,left,plain,entire,diagonal,table,-,-,-,-,-,-,Pick up the red bell pepper from the table with the left hand at a diagonal angle grasping the entire object.
2026-03-14-23-17-15-904000,pick_place_diverse,pick and place on variety of objects,789,927,138,place,red bell pepper,left,-,-,-,-,left,juice pouch,left,none,up,none,Put the red bell pepper to the left of the juice pouch with the left hand right side up with the front as the orientation reference point.
2026-03-14-23-17-15-904000,pick_place_diverse,pick and place on variety of objects,927,1068,141,pick,juice pouch,left,plain,middle,side,table,-,-,-,-,-,-,Pick up the juice pouch from the table with the left hand from the side at the middle.
2026-03-14-23-17-15-904000,pick_place_diverse,pick and place on variety of objects,1068,1173,105,place,juice pouch,left,-,-,-,-,corner,white mug,corner,forwards,up,none,Place the juice pouch with the left hand to the front left of the white mug right side up with the front facing forward.
2026-03-14-23-17-15-904000,pick_place_diverse,pick and place on variety of objects,1308,1413,105,pick,red bell pepper,left,plain,entire,diagonal,table,-,-,-,-,-,-,Pick up the red bell pepper from the table with the left hand at a diagonal angle grasping the entire object.
2026-03-14-23-17-15-904000,pick_place_diverse,pick and place on variety of objects,1413,1512,99,place,red bell pepper,left,-,-,-,-,corner,juice pouch,corner,none,up,none,Put the red bell pepper to the front left of the juice pouch with the left hand right side up with the front as the orientation reference point.
2026-03-14-23-17-15-904000,pick_place_diverse,pick and place on variety of objects,1512,1731,219,pick,asparagus,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the asparagus from the table with the right hand at a diagonal angle grasping the middle.
2026-03-14-23-17-15-904000,pick_place_diverse,pick and place on variety of objects,1731,1836,105,place,asparagus,right,-,-,-,-,front,small coffee cup,front,backwards,none,none,Put the asparagus in front of the small coffee cup with the right hand facing backwards with the tip as the reference point.
2026-03-14-23-17-15-904000,pick_place_diverse,pick and place on variety of objects,1836,2004,168,pick,red bell pepper,left,plain,entire,diagonal,table,-,-,-,-,-,-,Pick up the red bell pepper from the table with the left hand at a diagonal angle grasping the entire object.
2026-03-14-23-17-15-904000,pick_place_diverse,pick and place on variety of objects,2004,2106,102,place,red bell pepper,left,-,-,-,-,front,juice pouch,front,none,up,none,Put the red bell pepper in front of the juice pouch with the left hand right side up front.
2026-03-14-23-17-15-904000,pick_place_diverse,pick and place on variety of objects,2106,2253,147,pick,juice pouch,left,plain,top,diagonal,table,-,-,-,-,-,-,Pick up the juice pouch from the table with the left hand at a diagonal angle from the top of the object.
2026-03-14-23-17-15-904000,pick_place_diverse,pick and place on variety of objects,2253,2358,105,place,juice pouch,left,-,-,-,-,left,red bell pepper,left,none,up,none,Place the juice pouch to the left of the red bell pepper with the left hand right side up.
2026-03-14-23-17-15-904000,pick_place_diverse,pick and place on variety of objects,2358,2412,54,return,-,left,-,-,-,-,-,-,-,-,-,-,Return to home with the left hand.
2026-03-14-23-17-15-904000,pick_place_diverse,pick and place on variety of objects,2412,2553,141,pick,white mug,right,handle,handle,diagonal,table,-,-,-,-,-,-,Pick up the white mug from the table with the right hand at a diagonal angle by the handle.
2026-03-14-23-17-15-904000,pick_place_diverse,pick and place on variety of objects,2553,2703,150,place,white mug,right,-,-,-,-,right,asparagus,right,backwards,up,none,Put the white mug to the right of the asparagus with the right hand right side up with the front facing backwards.
2026-03-14-23-17-15-904000,pick_place_diverse,pick and place on variety of objects,2703,2874,171,pick,small white coffee cup,right,handle,handle,diagonal,table,-,-,-,-,-,-,Pick up the small white coffee cup from the table by the handle at a diagonal angle with the right hand.
2026-03-14-23-17-15-904000,pick_place_diverse,pick and place on variety of objects,2874,3000,126,place,small white coffee cup,right,-,-,-,-,behind,red bell pepper,behind,none,up,none,Put the small white coffee cup behind the red bell pepper with the right hand right side up.
2026-03-14-23-19-41-404000,pick_place_diverse,pick and place on variety of objects,0,120,120,pick,white cup,right,handle,handle,diagonal,table,-,-,-,-,-,-,Pick up the white cup from the table by the handle at a diagonal angle with the right hand.
2026-03-14-23-19-41-404000,pick_place_diverse,pick and place on variety of objects,120,267,147,place,white cup,right,-,-,-,-,between,red bell pepper and the asparagus,between,backwards,up,bottom,Put the white cup between the red bell pepper and the asparagus on the bottom side with the right hand right side up with the front facing backwards.
2026-03-14-23-19-41-404000,pick_place_diverse,pick and place on variety of objects,267,417,150,pick,juice pouch,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the juice pouch from the table with the left hand at a diagonal angle grasping the middle.
2026-03-14-23-19-41-404000,pick_place_diverse,pick and place on variety of objects,417,519,102,place,juice pouch,left,-,-,-,-,left,white cup,left,none,up,top,Put the juice pouch to the left of the white cup on the top side right side up with the front as the reference using the left hand.
2026-03-14-23-19-41-404000,pick_place_diverse,pick and place on variety of objects,519,756,237,pick,white cup,left,handle,handle,diagonal,table,-,-,-,-,-,-,Pick up the white cup from the table with the left hand using a diagonal grasp at the handle.
2026-03-14-23-19-41-404000,pick_place_diverse,pick and place on variety of objects,756,963,207,place,white cup,left,-,-,-,-,left,juice pouch,left,none,up,top,Put the white cup to the left of the juice pouch on the top side with the left hand right side up with the front as the reference point.
2026-03-14-23-19-41-404000,pick_place_diverse,pick and place on variety of objects,1125,1197,72,pick,red bell pepper,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the red bell pepper from the table with the left hand at a diagonal angle grasping the middle.
2026-03-14-23-19-41-404000,pick_place_diverse,pick and place on variety of objects,1197,1305,108,place,red bell pepper,left,-,-,-,-,front,white cup,front,none,up,none,Put the red bell pepper in front of the white cup on the left side with the left hand right side up with the front as the reference point.
2026-03-14-23-19-41-404000,pick_place_diverse,pick and place on variety of objects,1305,1512,207,pick,asparagus,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the Asparagus from the table with the right hand at a diagonal angle grasping the middle.
2026-03-14-23-19-41-404000,pick_place_diverse,pick and place on variety of objects,1512,1689,177,place,asparagus,right,-,-,-,-,behind,white cup,behind,backwards,none,top,Put the asparagus behind the white cup on its top side with the tip facing backwards using the right hand.
2026-03-14-23-19-41-404000,pick_place_diverse,pick and place on variety of objects,1689,1974,285,pick,red bell pepper,left,side,bottom,diagonal,table,-,-,-,-,-,-,Pick up the red bell pepper from the table with the left hand using a side grip at the bottom with a diagonal pick angle.
2026-03-14-23-19-41-404000,pick_place_diverse,pick and place on variety of objects,1974,2073,99,place,red bell pepper,left,-,-,-,-,between,juice pouch and the asparagus,between,none,up,top,Put the red bell pepper between the juice pouch and the Asparagus with the left hand right side up with the front on the top side.
2026-03-14-23-19-41-404000,pick_place_diverse,pick and place on variety of objects,2073,2280,207,pick,white cup,right,lip,right,diagonal,table,-,-,-,-,-,-,Pick up the white cup from the table with the right hand using a lip grasp at the right side diagonally.
2026-03-14-23-19-41-404000,pick_place_diverse,pick and place on variety of objects,2280,2412,132,place,white cup,right,-,-,-,-,right,asparagus,right,backwards,up,top,Put the white cup to the right of the Asparagus on the top side with the right hand right side up with the front facing backwards.
2026-03-14-23-19-41-404000,pick_place_diverse,pick and place on variety of objects,2412,2484,72,return,-,right,-,-,-,-,-,-,-,-,-,-,Return to home with the right hand.
2026-03-14-23-19-41-404000,pick_place_diverse,pick and place on variety of objects,2613,2745,132,pick,white cup,left,handle,handle,diagonal,table,-,-,-,-,-,-,Pick up the white cup from the table with the left hand using a diagonal grasp at the handle.
2026-03-14-23-19-41-404000,pick_place_diverse,pick and place on variety of objects,2745,2886,141,place,white cup,left,-,-,-,-,front,juice pouch,front,none,up,top,Put the white cup in front of the juice pouch on the top side right side up with the front as the orientation reference using the left hand.
2026-03-14-23-19-41-404000,pick_place_diverse,pick and place on variety of objects,2886,3000,114,return,-,left,-,-,-,-,-,-,-,-,-,-,Return to home with the left hand.
2026-03-14-23-22-18-269000,pick_place_diverse,pick and place on variety of objects,0,192,192,pick,asparagus,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the asparagus from the table with the right hand at a diagonal angle grasping the middle.
2026-03-14-23-22-18-269000,pick_place_diverse,pick and place on variety of objects,192,300,108,place,asparagus,right,-,-,-,-,front,big white mug,front,backwards,none,none,Put the asparagus in front of the big white mug with the right hand facing backwards with the tip as the orientation reference point.
2026-03-14-23-22-18-269000,pick_place_diverse,pick and place on variety of objects,300,507,207,pick,small white mug,left,lip,left,diagonal,table,-,-,-,-,-,-,Pick up the small white mug from the table with the left hand using a lip grip at the left side diagonally.
2026-03-14-23-22-18-269000,pick_place_diverse,pick and place on variety of objects,506,690,184,place,small white mug,left,-,-,-,-,left,juice pack,left,forwards,none,none,Put the small white mug to the left of the juice pack with the left hand facing forwards from the front.
2026-03-14-23-22-18-269000,pick_place_diverse,pick and place on variety of objects,690,966,276,pick,small white mug,left,lip,bottom,diagonal,table,-,-,-,-,-,-,Pick up the small white mug from the table with the left hand using a lip grasp at the bottom left from a diagonal angle.
2026-03-14-23-22-18-269000,pick_place_diverse,pick and place on variety of objects,966,1047,81,place,small white mug,left,-,-,-,-,left,juice pack,left,bottom_left,up,none,Put the small white mug to the left of the juice pack with the handle facing bottom left right side up with the left hand.
2026-03-14-23-22-18-269000,pick_place_diverse,pick and place on variety of objects,1047,1260,213,pick,asparagus,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the asparagus from the table with the right hand at a diagonal angle grasping the middle.
2026-03-14-23-22-18-269000,pick_place_diverse,pick and place on variety of objects,1260,1398,138,place,asparagus,right,-,-,-,-,between,bell pepper and the big white mug,between,backwards,none,none,Put the asparagus between the bell pepper and the big white mug with the right hand facing backwards with the tip as the reference point.
2026-03-14-23-22-18-269000,pick_place_diverse,pick and place on variety of objects,1398,1650,252,pick,juice pack,left,side,top,straight,table,-,-,-,-,-,-,Pick up the juice pack from the table with the left hand using a side grip at the top left.
2026-03-14-23-22-18-269000,pick_place_diverse,pick and place on variety of objects,1650,1809,159,place,juice pack,left,-,-,-,-,left,small white mug,left,forwards,up,none,Place the juice pack to the left of the small white mug with the left hand right side up facing front.
2026-03-14-23-22-18-269000,pick_place_diverse,pick and place on variety of objects,1809,2040,231,pick,big white mug,right,handle,handle,diagonal,table,-,-,-,-,-,-,Pick up the big white mug from the table with the right hand at a diagonal angle by the handle.
2026-03-14-23-22-18-269000,pick_place_diverse,pick and place on variety of objects,2040,2226,186,place,big white mug,right,-,-,-,-,between,small white mug and the bell pepper,between,backwards,up,none,Put the big white mug between the small white mug and the bell pepper with the handle facing backwards right side up using the right hand.
2026-03-14-23-22-18-269000,pick_place_diverse,pick and place on variety of objects,2226,2580,354,pick,juice pack,left,side,top,side,table,-,-,-,-,-,-,Pick up the juice pack from the table with the left hand using a side grip at the top left from the side.
2026-03-14-23-22-18-269000,pick_place_diverse,pick and place on variety of objects,2580,2781,201,place,juice pack,left,-,-,-,-,front,big white mug,front,none,up,none,Put the juice pack in front of the big white mug with the left hand right side up with the front as the reference point.
2026-03-14-23-22-18-269000,pick_place_diverse,pick and place on variety of objects,2781,3000,219,pick,asparagus,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the asparagus from the table with the right hand at a diagonal angle grasping the middle.
2026-03-14-23-25-39-446000,pick_place_diverse,pick and place on variety of objects,0,150,150,pick,eggplant,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the eggplant from the table with the left hand at a diagonal angle grasping the middle.
2026-03-14-23-25-39-446000,pick_place_diverse,pick and place on variety of objects,150,318,168,place,eggplant,left,-,-,-,-,left,croissant,left,bottom_right,none,none,Put the eggplant to the left side of the croissant with the left hand with its tip facing bottom right.
2026-03-14-23-25-39-446000,pick_place_diverse,pick and place on variety of objects,318,609,291,pick,corn,right,side,bottom,diagonal,plate,-,-,-,-,-,-,Pick up the corn from the plate with the right hand using a side grip at the bottom from a diagonal angle.
2026-03-14-23-25-39-446000,pick_place_diverse,pick and place on variety of objects,609,723,114,place,corn,right,-,-,-,-,right,plate,right,backwards,none,none,Put the corn to the right of the plate with the right hand facing backwards from the tip.
2026-03-14-23-25-39-446000,pick_place_diverse,pick and place on variety of objects,723,996,273,pick,croissant,left,side,bottom,diagonal,table,-,-,-,-,-,-,Pick up the croissant from the table with the left hand using a side grip at the bottom from a diagonal angle.
2026-03-14-23-25-39-446000,pick_place_diverse,pick and place on variety of objects,996,1098,102,place,croissant,left,-,-,-,-,corner,plate,corner,none,up,none,Put the croissant to the top left side of the plate with the left hand right side up front.
2026-03-14-23-25-39-446000,pick_place_diverse,pick and place on variety of objects,1098,1260,162,pick,bag of chips,right,side,top,diagonal,table,-,-,-,-,-,-,Pick up the bag of chips from the table with the right hand using a side grip at the top diagonally.
2026-03-14-23-25-39-446000,pick_place_diverse,pick and place on variety of objects,1260,1401,141,place,bag of chips,right,-,-,-,-,on_top,plate,on_top,none,up,none,Put the bag of chips on top of the plate with the right hand right side up.
2026-03-14-23-25-39-446000,pick_place_diverse,pick and place on variety of objects,1401,1590,189,pick,eggplant,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the eggplant from the table with the left hand at a diagonal angle grasping the middle.
2026-03-14-23-25-39-446000,pick_place_diverse,pick and place on variety of objects,1590,1686,96,place,eggplant,left,-,-,-,-,left,croissant,left,bottom_right,none,none,Put the eggplant to the left side of the croissant with the left hand with its tip facing bottom right.
2026-03-14-23-25-39-446000,pick_place_diverse,pick and place on variety of objects,1686,1878,192,pick,croissant,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the croissant from the table with the left hand at a diagonal angle grasping the middle.
2026-03-14-23-25-39-446000,pick_place_diverse,pick and place on variety of objects,1878,1959,81,place,croissant,left,-,-,-,-,right,eggplant,right,none,up,none,Place the croissant to the right side of the eggplant with the left hand right side up front.
2026-03-14-23-25-39-446000,pick_place_diverse,pick and place on variety of objects,1959,2121,162,pick,corn,right,side,bottom,diagonal,table,-,-,-,-,-,-,Pick up the corn from the table with the right hand using a side grip at the bottom from a diagonal angle.
2026-03-14-23-25-39-446000,pick_place_diverse,pick and place on variety of objects,2121,2349,228,place,corn,right,-,-,-,-,between,eggplant and the plate,between,backwards,none,none,Put the corn in between the eggplant and the plate with the right hand facing backwards by the tip.
2026-03-14-23-25-39-446000,pick_place_diverse,pick and place on variety of objects,2349,2511,162,pick,croissant,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the croissant from the table with the left hand at a diagonal angle grasping the middle.
2026-03-14-23-25-39-446000,pick_place_diverse,pick and place on variety of objects,2511,2565,54,place,croissant,left,-,-,-,-,behind,eggplant,behind,none,up,none,Put the croissant behind the eggplant with the left hand right side up with the front as the orientation reference point.
2026-03-14-23-25-39-446000,pick_place_diverse,pick and place on variety of objects,2565,2682,117,pick,corn,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the corn from the table with the left hand at a diagonal angle gripping the middle.
2026-03-14-23-25-39-446000,pick_place_diverse,pick and place on variety of objects,2682,2763,81,place,corn,left,-,-,-,-,corner,table,none,backwards,none,none,Put the corn to the bottom left side of the table with the left hand facing backwards with the tip as the reference point.
2026-03-14-23-25-39-446000,pick_place_diverse,pick and place on variety of objects,2763,2817,54,return,-,left,-,-,-,-,-,-,-,-,-,-,Return to home with the left hand.
2026-03-14-23-25-39-446000,pick_place_diverse,pick and place on variety of objects,2817,3000,183,pick,bag of chips,right,side,top,diagonal,plate,-,-,-,-,-,-,Pick up the bag of chips from the plate with the right hand using a side grip at the top from a diagonal angle.
2026-03-14-23-30-45-788000,pick_place_diverse,pick and place on variety of objects,0,114,114,pick,corn,left,side,top,diagonal,table,-,-,-,-,-,-,Pick up the corn from the table with the left hand using a side grip at the top from a diagonal angle.
2026-03-14-23-30-45-788000,pick_place_diverse,pick and place on variety of objects,114,318,204,place,corn,left,-,-,-,-,right,croissant,right,backwards,none,top,Put the corn to the right side of the croissant with the left hand facing backwards with the tip on the top side.
2026-03-14-23-30-45-788000,pick_place_diverse,pick and place on variety of objects,318,540,222,pick,bag of chips,right,side,bottom,diagonal,pink plate,-,-,-,-,-,-,Pick up the bag of chips from the top of the pink plate with the right hand using a side grip at the bottom right diagonal.
2026-03-14-23-30-45-788000,pick_place_diverse,pick and place on variety of objects,540,630,90,place,bag of chips,right,-,-,-,-,right,pink plate,right,bottom_left,none,none,Put the bag of chips to the right of the pink plate with the right hand facing bottom left.
2026-03-14-23-30-45-788000,pick_place_diverse,pick and place on variety of objects,630,804,174,pick,pink plate,right,lip,right,diagonal,table,-,-,-,-,-,-,Pick up the pink plate from the table with the right hand using a lip grip at the right side with a diagonal angle.
2026-03-14-23-30-45-788000,pick_place_diverse,pick and place on variety of objects,804,897,93,place,pink plate,right,-,-,-,-,right,corn,right,none,up,none,Put the pink plate to the right of the corn with the right hand right side up with the front as the reference point.
2026-03-14-23-30-45-788000,pick_place_diverse,pick and place on variety of objects,897,1119,222,pick,croissant,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the croissant from the table with the left hand at a diagonal angle grasping the middle.
2026-03-14-23-30-45-788000,pick_place_diverse,pick and place on variety of objects,1119,1242,123,place,croissant,left,-,-,-,-,right,eggplant,right,none,up,none,Place the croissant to the right of the eggplant with the left hand right side up with the front at the bottom side.
2026-03-14-23-30-45-788000,pick_place_diverse,pick and place on variety of objects,1242,1452,210,pick,eggplant,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the eggplant from the table with the left hand at a diagonal angle grasping the middle.
2026-03-14-23-30-45-788000,pick_place_diverse,pick and place on variety of objects,1452,1569,117,place,eggplant,left,-,-,-,-,right,croissant,right,forwards,none,none,Put the eggplant to the right of the croissant with the left hand facing forwards.
2026-03-14-23-30-45-788000,pick_place_diverse,pick and place on variety of objects,1569,1776,207,pick,bag of chips,right,side,bottom,diagonal,table,-,-,-,-,-,-,Pick up the bag of chips from the table with the right hand using a side grip at the bottom with a diagonal angle.
2026-03-14-23-30-45-788000,pick_place_diverse,pick and place on variety of objects,1776,1908,132,place,bag of chips,right,-,-,-,-,right,pink plate,right,backwards,none,none,Put the bag of chips to the right of the pink plate with the right hand facing backwards.
2026-03-14-23-30-45-788000,pick_place_diverse,pick and place on variety of objects,1908,2109,201,pick,croissant,left,side,bottom,diagonal,table,-,-,-,-,-,-,Pick up the croissant from the table with the left hand using a side grip at the bottom from a diagonal angle.
2026-03-14-23-30-45-788000,pick_place_diverse,pick and place on variety of objects,2109,2196,87,place,croissant,left,-,-,-,-,left,corn,left,top_left,up,none,Put the croissant to the left of the corn with the left hand right side up with the front facing the top left side.
2026-03-14-23-30-45-788000,pick_place_diverse,pick and place on variety of objects,2196,2355,159,pick,croissant,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the croissant from the table with the left hand at a diagonal angle grasping the middle.
2026-03-14-23-30-45-788000,pick_place_diverse,pick and place on variety of objects,2355,2478,123,place,croissant,left,-,-,-,-,on_top,pink plate,on_top,none,up,top_right,Put the croissant onto the pink plate on top right side up with the front as the reference point using the left hand.
2026-03-14-23-30-45-788000,pick_place_diverse,pick and place on variety of objects,2478,2550,72,return,-,left,-,-,-,-,-,-,-,-,-,-,Return to home with the left hand.
2026-03-14-23-30-45-788000,pick_place_diverse,pick and place on variety of objects,2550,2703,153,pick,bag of chips,right,side,bottom,diagonal,table,-,-,-,-,-,-,Pick up the bag of chips from the table with the right hand using a side grip at the bottom with a diagonal pick angle.
2026-03-14-23-30-45-788000,pick_place_diverse,pick and place on variety of objects,2703,2841,138,place,bag of chips,right,-,-,-,-,right,eggplant,right,backwards,none,none,Put the bag of chips to the right of the eggplant with the right hand facing backwards.
2026-03-14-23-30-45-788000,pick_place_diverse,pick and place on variety of objects,2841,3000,159,pick,corn,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the corn from the table with the right hand at a diagonal angle grasping the middle.
2026-03-14-23-33-12-351000,pick_place_diverse,pick and place on variety of objects,0,141,141,pick,bag of chips,right,side,bottom,diagonal,table,-,-,-,-,-,-,Pick up the bag of chips from the table with the right hand using a side grip at the bottom with a diagonal angle.
2026-03-14-23-33-12-351000,pick_place_diverse,pick and place on variety of objects,141,228,87,place,bag of chips,right,-,-,-,-,corner,pink plate,corner,backwards,none,top_right,Put the bag of chips to the right of the pink plate on the top right side with the right hand facing backwards.
2026-03-14-23-33-12-351000,pick_place_diverse,pick and place on variety of objects,228,420,192,pick,corn,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the corn from the table with the left hand at a diagonal angle grasping the middle.
2026-03-14-23-33-12-351000,pick_place_diverse,pick and place on variety of objects,420,519,99,place,corn,left,-,-,-,-,left,eggplant,left,backwards,none,none,Put the corn to the left of the eggplant with the left hand facing backwards with the tip as the orientation reference point.
2026-03-14-23-33-12-351000,pick_place_diverse,pick and place on variety of objects,516,717,201,pick,croissant,right,side,bottom,diagonal,pink plate,-,-,-,-,-,-,Pick up the croissant from the top of the pink plate with the right hand using a side grip at the bottom diagonally.
2026-03-14-23-33-12-351000,pick_place_diverse,pick and place on variety of objects,717,831,114,place,croissant,right,-,-,-,-,right,eggplant,right,none,none,bottom,Put the croissant to the right of the eggplant with the right hand on the bottom side.
2026-03-14-23-33-12-351000,pick_place_diverse,pick and place on variety of objects,831,1050,219,pick,bag of chips,right,side,bottom,diagonal,table,-,-,-,-,-,-,Pick up the bag of chips from the table with the right hand using a side grip at the bottom right in a diagonal approach.
2026-03-14-23-33-12-351000,pick_place_diverse,pick and place on variety of objects,1050,1275,225,place,bag of chips,right,-,-,-,-,left,pink plate,left,backwards,none,none,Put the bag of chips to the left of the pink plate with the right hand facing backwards.
2026-03-14-23-33-12-351000,pick_place_diverse,pick and place on variety of objects,1275,1335,60,pick,bag of chips,right,side,bottom,diagonal,table,-,-,-,-,-,-,Pick up the bag of chips from the table with the right hand using a side grip at the bottom diagonally.
